"","GSM711910"
"7900888",4.65301
"7900911",3.67401
"7900922",6.02926
"7900931",5.89398
"7900944",4.55191
"7900957",3.3374
"7900962",5.11811
"7900977",1.70029
"7900979",4.46036
"7900999",3.22054
"7901010",3.15245
"7901036",1.81403
"7901038",9.06309
"7901046",5.82022
"7901048",7.6818
"7901050",4.55786
"7901052",3.40918
"7901054",7.12158
"7901071",2.04374
"7901073",5.35755
"7901087",3.34547
"7901091",4.69048
"7901102",3.79238
"7901110",5.25259
"7901123",6.15913
"7901135",3.62475
"7901140",5.38441
"7901175",5.0997
"7901187",4.30435
"7901192",3.37186
"7901212",5.05408
"7901219",5.68074
"7901227",2.51691
"7901229",3.78569
"7901247",4.24332
"7901253",2.50793
"7901256",3.70458
"7901272",5.42104
"7901287",3.48439
"7901293",3.0369
"7901299",7.3117
"7901309",5.35222
"7901311",2.72646
"7901314",3.70211
"7901316",2.89533
"7901334",1.40043
"7901336",5.71616
"7901338",2.00546
"7901340",2.86961
"7901342",3.16157
"7901357",5.34004
"7901359",1.29783
"7901361",1.95113
"7901363",3.14493
"7901374",1.59865
"7901376",5.49287
"7901383",1.55878
"7901385",6.78123
"7901416",2.11304
"7901418",7.20651
"7901426",4.42199
"7901443",5.21325
"7901445",4.63154
"7901447",6.72252
"7901460",5.27833
"7901466",3.16599
"7901477",3.90008
"7901479",5.95057
"7901495",1.66593
"7901497",2.76111
"7901513",6.70079
"7901535",7.52449
"7901549",4.02403
"7901557",4.29389
"7901563",2.26935
"7901565",3.02136
"7901577",5.1982
"7901592",3.43873
"7901601",5.65399
"7901611",2.87039
"7901613",3.59295
"7901634",3.98267
"7901662",5.48052
"7901675",3.32588
"7901687",5.36634
"7901691",3.60125
"7901696",4.07038
"7901710",1.31445
"7901712",1.65234
"7901714",3.34918
"7901720",5.21892
"7901732",2.8716
"7901744",3.3447
"7901746",6.81319
"7901748",5.23318
"7901765",2.31445
"7901788",7.28574
"7901802",3.23807
"7901804",4.89045
"7901852",3.96087
"7901854",1.81911
"7901856",4.06336
"7901858",3.47132
"7901860",2.15965
"7901867",5.03734
"7901883",2.16137
"7901895",4.444
"7901911",2.77023
"7901913",3.25628
"7901915",5.05074
"7901931",3.57979
"7901948",1.35219
"7901951",6.24451
"7901967",6.44872
"7901969",6.03858
"7901982",1.84771
"7901993",5.474
"7902023",4.89882
"7902036",6.03865
"7902038",4.81695
"7902043",3.93492
"7902072",1.84807
"7902074",7.18014
"7902102",2.06191
"7902104",5.47614
"7902127",4.66654
"7902158",4.8183
"7902166",6.40393
"7902189",2.73794
"7902203",2.50131
"7902205",3.5904
"7902223",3.18861
"7902225",1.67409
"7902227",6.06517
"7902235",3.02921
"7902265",5.18739
"7902267",4.259
"7902269",7.9876
"7902282",3.16506
"7902290",5.74942
"7902306",1.90135
"7902308",5.86962
"7902317",4.20112
"7902345",6.30984
"7902353",3.40056
"7902365",2.13376
"7902367",6.98251
"7902382",6.40873
"7902396",3.89708
"7902398",8.9177
"7902400",5.29246
"7902402",2.1796
"7902425",3.86187
"7902435",5.41239
"7902439",1.8884
"7902441",3.4495
"7902448",6.48345
"7902452",3.96524
"7902472",3.9986
"7902474",2.89847
"7902476",6.31656
"7902493",4.80441
"7902495",6.73408
"7902512",7.48009
"7902518",5.30347
"7902527",4.17486
"7902541",6.40731
"7902553",5.37955
"7902563",2.44004
"7902565",6.81524
"7902592",5.12069
"7902594",5.40327
"7902611",2.71381
"7902615",1.77838
"7902617",2.8882
"7902623",2.23442
"7902634",6.10236
"7902645",2.44879
"7902660",3.0615
"7902685",1.94611
"7902687",9.13069
"7902700",2.02737
"7902702",2.70969
"7902721",2.74948
"7902738",2.43755
"7902754",2.59302
"7902771",7.22798
"7902787",2.62421
"7902789",5.91156
"7902799",4.01626
"7902808",6.04563
"7902810",5.96037
"7902822",7.16825
"7902848",5.83468
"7902850",2.66863
"7902861",5.35086
"7902874",4.49728
"7902883",4.59822
"7902891",5.45829
"7902909",3.9424
"7902911",3.49551
"7902913",3.87716
"7902930",3.453
"7902934",2.83265
"7902957",3.67719
"7902965",2.88943
"7902977",3.49138
"7902984",2.33563
"7902992",4.67731
"7903008",2.30148
"7903010",7.90036
"7903022",6.9697
"7903024",2.31407
"7903026",1.52564
"7903028",2.27406
"7903030",2.27226
"7903032",5.83286
"7903049",3.34738
"7903079",6.49281
"7903090",1.43606
"7903092",5.40256
"7903109",1.3247
"7903111",1.65694
"7903113",1.77138
"7903115",2.00972
"7903117",2.41084
"7903119",6.89127
"7903144",4.10026
"7903162",4.81564
"7903171",5.71488
"7903181",1.9418
"7903183",8.71317
"7903186",1.94334
"7903188",6.48848
"7903203",4.85743
"7903214",4.96932
"7903227",6.43387
"7903239",5.49678
"7903281",6.13977
"7903292",1.59657
"7903294",8.12849
"7903308",5.56364
"7903321",5.84047
"7903334",4.84851
"7903355",4.42477
"7903358",8.09184
"7903369",6.77148
"7903389",5.03071
"7903391",2.95135
"7903393",5.21413
"7903399",3.09952
"7903401",1.90096
"7903404",5.53922
"7903407",5.79768
"7903414",8.72204
"7903425",7.37596
"7903440",7.37596
"7903455",2.28201
"7903457",3.32573
"7903461",3.67951
"7903474",5.53012
"7903478",3.36241
"7903490",3.36036
"7903507",7.26399
"7903519",6.69375
"7903530",2.55524
"7903541",6.81258
"7903561",2.53767
"7903565",4.9235
"7903582",9.47748
"7903586",6.39552
"7903592",4.1457
"7903619",7.49363
"7903632",4.1877
"7903667",4.17239
"7903676",3.81129
"7903688",4.42018
"7903694",4.49493
"7903703",7.25403
"7903717",5.78866
"7903719",5.39099
"7903742",4.60192
"7903753",5.6521
"7903765",3.99595
"7903777",5.71216
"7903786",6.37159
"7903803",7.41491
"7903827",5.73838
"7903851",2.9954
"7903854",4.25748
"7903867",4.40768
"7903876",1.68607
"7903878",5.9042
"7903884",4.08687
"7903889",2.91916
"7903893",6.86187
"7903906",1.62448
"7903908",6.66056
"7903920",2.88913
"7903935",2.71416
"7903945",3.10738
"7903959",2.92201
"7903970",2.00553
"7903972",5.96936
"7903980",6.09742
"7903988",6.1663
"7904000",4.50296
"7904014",1.50774
"7904016",1.53339
"7904018",6.10992
"7904025",4.67941
"7904036",6.7718
"7904048",5.48307
"7904050",4.97529
"7904073",4.4407
"7904082",2.51846
"7904084",3.44927
"7904086",5.03458
"7904106",4.67282
"7904131",2.80657
"7904137",7.20926
"7904158",4.93685
"7904164",2.00991
"7904166",2.05962
"7904168",2.04116
"7904203",1.91557
"7904209",2.97381
"7904211",4.24567
"7904226",4.45636
"7904244",2.8412
"7904252",2.59556
"7904254",9.01173
"7904281",2.32351
"7904287",5.1113
"7904293",6.10809
"7904303",4.41735
"7904314",4.14491
"7904340",7.05778
"7904361",6.63394
"7904364",5.05298
"7904394",2.778
"7904396",2.94889
"7904408",2.52024
"7904414",1.9582
"7904417",2.02038
"7904421",2.39449
"7904429",2.8479
"7904431",2.44951
"7904433",5.25013
"7904448",3.53892
"7904450",1.46221
"7904452",4.19398
"7904463",5.96622
"7904465",5.59484
"7904469",8.08329
"7904478",3.73193
"7904480",2.12853
"7904482",8.36667
"7904486",10.379
"7904500",10.898
"7904506",10.618
"7904562",10.454
"7904569",9.92826
"7904572",2.1566
"7904574",8.50771
"7904691",1.51616
"7904693",4.98085
"7904695",7.44445
"7904702",6.77971
"7904713",4.67029
"7904715",3.81574
"7904717",3.54462
"7904726",10.0573
"7904737",2.87861
"7904742",6.5717
"7904751",5.70187
"7904755",5.18624
"7904761",3.45931
"7904796",3.91214
"7904812",4.96617
"7904830",5.51105
"7904843",3.53132
"7904853",5.75784
"7904863",5.06879
"7904865",2.96085
"7904867",1.39187
"7904869",5.01374
"7904872",2.01756
"7904874",9.8614
"7904877",2.58096
"7904879",5.35438
"7904881",9.10584
"7904883",5.04421
"7904907",4.5317
"7904921",2.72736
"7904923",2.56317
"7904927",2.73974
"7904930",5.36236
"7904946",1.39187
"7904948",5.01374
"7904951",2.01756
"7904953",1.72088
"7904955",4.5971
"7904959",4.64943
"7904963",2.12853
"7904965",4.56977
"7904967",3.17475
"7904969",6.53539
"7904974",7.42035
"7904976",8.68567
"7904997",4.80159
"7904999",8.88938
"7905016",4.80159
"7905018",3.92493
"7905020",3.59918
"7905025",3.28589
"7905028",6.78799
"7905033",2.52511
"7905035",4.05072
"7905037",4.07034
"7905039",1.30252
"7905043",4.87527
"7905047",5.08816
"7905051",3.3026
"7905054",2.16171
"7905058",3.68854
"7905060",4.75371
"7905067",4.01389
"7905077",3.07812
"7905079",5.33278
"7905085",4.04814
"7905088",6.30803
"7905092",3.26394
"7905099",6.64673
"7905116",5.71708
"7905127",5.06902
"7905129",2.05484
"7905131",2.77588
"7905145",2.43396
"7905147",4.2667
"7905154",3.66585
"7905163",5.67579
"7905171",6.23851
"7905185",5.46366
"7905198",4.04734
"7905220",4.96206
"7905233",4.64204
"7905254",2.50223
"7905256",2.51585
"7905258",4.70544
"7905283",3.75988
"7905299",3.90914
"7905308",3.23536
"7905324",4.68636
"7905329",5.62657
"7905339",5.5988
"7905349",3.68411
"7905355",5.67427
"7905365",7.45381
"7905374",5.91028
"7905382",4.6042
"7905395",7.27656
"7905406",3.87512
"7905428",4.56431
"7905444",5.97982
"7905462",1.7016
"7905464",2.93388
"7905474",3.12579
"7905481",2.08394
"7905483",3.76169
"7905486",2.65522
"7905490",3.56929
"7905492",5.60645
"7905496",2.49031
"7905500",3.87276
"7905503",2.66961
"7905505",4.44738
"7905507",5.84235
"7905510",3.8709
"7905512",3.62773
"7905515",2.67817
"7905517",4.78161
"7905519",4.56418
"7905523",5.52233
"7905525",2.77862
"7905528",4.85182
"7905530",2.31091
"7905533",2.5637
"7905536",4.71292
"7905544",4.45699
"7905548",2.85519
"7905553",4.38859
"7905559",3.64959
"7905563",2.95711
"7905569",1.79148
"7905571",6.63143
"7905576",2.67534
"7905581",2.82591
"7905589",6.19248
"7905598",5.11266
"7905606",5.5935
"7905629",2.20442
"7905631",6.36502
"7905664",5.31524
"7905677",4.02464
"7905691",9.90063
"7905698",1.51075
"7905700",7.41141
"7905731",2.88869
"7905733",5.6048
"7905742",1.84642
"7905744",2.30962
"7905746",3.02102
"7905754",6.19214
"7905789",6.0934
"7905801",3.71532
"7905817",3.52368
"7905826",7.94534
"7905831",4.42596
"7905848",3.12962
"7905854",5.02023
"7905862",4.12929
"7905881",5.63059
"7905909",3.30115
"7905918",3.37795
"7905927",2.3202
"7905929",4.87664
"7905938",5.17553
"7905949",2.36956
"7905951",4.34408
"7905968",5.02749
"7905974",4.49387
"7905986",5.37876
"7905999",4.35789
"7906015",3.15373
"7906017",4.18731
"7906021",4.46486
"7906041",6.57132
"7906056",4.43698
"7906061",4.61463
"7906069",3.87271
"7906072",5.15676
"7906079",3.06314
"7906085",8.55639
"7906107",7.35293
"7906128",6.45293
"7906133",6.61808
"7906140",4.17936
"7906146",3.54233
"7906154",2.68361
"7906163",3.82677
"7906175",2.53759
"7906177",4.17291
"7906185",6.52899
"7906194",3.30135
"7906197",3.98444
"7906205",4.15274
"7906223",4.24714
"7906233",1.8796
"7906235",6.18207
"7906244",4.384
"7906264",4.64495
"7906284",3.71634
"7906303",2.56514
"7906305",3.43401
"7906307",6.04001
"7906330",4.77517
"7906339",3.05701
"7906348",4.09355
"7906355",3.36674
"7906365",2.19894
"7906367",1.75831
"7906370",1.95686
"7906372",2.39463
"7906374",2.45477
"7906377",5.71949
"7906386",3.94124
"7906400",7.74871
"7906417",4.65215
"7906433",3.38574
"7906435",5.16123
"7906443",3.5709
"7906452",2.44049
"7906458",3.09717
"7906465",2.16216
"7906467",2.52034
"7906469",6.4012
"7906475",4.48134
"7906486",3.9945
"7906496",3.71039
"7906501",5.57355
"7906527",2.88507
"7906552",3.60239
"7906564",7.77773
"7906574",1.8412
"7906576",5.96639
"7906597",3.16165
"7906602",4.00624
"7906613",3.52657
"7906622",3.89031
"7906642",2.91263
"7906652",5.15358
"7906662",7.19929
"7906671",4.99401
"7906688",3.27367
"7906703",7.05697
"7906720",4.75532
"7906728",4.16422
"7906742",4.28555
"7906746",4.45555
"7906751",2.02533
"7906753",5.86042
"7906757",5.43445
"7906764",3.76037
"7906767",7.24512
"7906775",6.58907
"7906777",4.61759
"7906784",1.64627
"7906786",3.33042
"7906797",4.01483
"7906808",2.32138
"7906810",4.10127
"7906819",7.22919
"7906838",4.89355
"7906852",6.04892
"7906863",8.44195
"7906878",8.22107
"7906898",4.06828
"7906900",9.01519
"7906904",3.85005
"7906919",5.16595
"7906930",2.74605
"7906948",2.31535
"7906950",2.34745
"7906952",1.74948
"7906954",6.9385
"7906969",6.15365
"7906973",2.49541
"7906978",5.62485
"7906988",2.10041
"7906993",4.01642
"7906995",6.53213
"7907008",3.06812
"7907010",2.56576
"7907012",2.85783
"7907024",5.51138
"7907032",2.21174
"7907049",3.3212
"7907051",1.806
"7907053",3.04491
"7907058",4.77386
"7907079",5.3188
"7907090",3.3696
"7907092",6.91181
"7907104",6.7667
"7907124",5.56175
"7907135",5.67425
"7907146",3.51532
"7907156",3.4564
"7907160",6.75744
"7907171",6.14147
"7907183",3.66147
"7907211",4.81392
"7907213",3.6192
"7907222",6.61918
"7907232",2.23701
"7907249",3.84543
"7907260",2.66252
"7907271",7.21674
"7907286",3.87675
"7907297",4.39327
"7907308",2.02272
"7907310",7.52916
"7907349",5.99212
"7907351",5.39063
"7907353",4.76126
"7907368",2.83026
"7907370",4.46282
"7907394",1.9679
"7907396",2.34593
"7907404",5.89721
"7907430",3.35899
"7907439",6.35237
"7907445",6.50929
"7907462",1.99757
"7907464",2.62017
"7907466",4.88747
"7907486",4.0984
"7907492",5.71423
"7907531",4.08765
"7907535",2.26943
"7907537",4.9497
"7907549",3.50485
"7907568",2.60404
"7907572",3.2818
"7907601",3.52869
"7907611",6.31042
"7907633",2.34522
"7907649",4.12384
"7907655",3.30746
"7907657",5.08169
"7907680",7.05004
"7907690",4.84868
"7907700",4.06582
"7907702",6.66912
"7907719",2.23034
"7907747",1.79604
"7907749",2.41354
"7907769",4.28377
"7907773",6.76868
"7907788",3.54957
"7907790",6.43067
"7907830",6.05133
"7907847",4.0701
"7907849",3.62164
"7907859",5.08191
"7907861",5.78987
"7907882",4.48919
"7907893",5.44107
"7907904",5.67723
"7907907",2.81817
"7907911",3.36306
"7907960",1.54453
"7907962",3.10523
"7907964",1.57064
"7907966",2.90523
"7907968",1.81046
"7907970",2.75165
"7907972",2.55219
"7907977",1.97662
"7907986",2.38301
"7908003",4.91899
"7908022",6.75119
"7908041",8.48287
"7908072",4.48771
"7908097",5.16083
"7908125",6.37172
"7908147",5.44804
"7908155",2.06445
"7908157",1.83767
"7908159",3.15117
"7908161",7.38684
"7908169",5.06079
"7908178",3.91896
"7908204",6.19437
"7908312",3.23474
"7908328",4.73308
"7908330",5.02966
"7908347",4.16703
"7908351",4.07013
"7908371",3.4811
"7908376",4.94418
"7908382",1.87535
"7908388",4.68654
"7908397",4.22674
"7908407",8.71107
"7908409",8.84106
"7908421",6.89421
"7908437",7.50956
"7908459",8.71273
"7908481",2.73991
"7908488",4.16779
"7908492",2.39869
"7908496",4.31318
"7908499",2.59682
"7908508",2.69654
"7908525",4.01242
"7908529",3.20066
"7908543",8.03734
"7908553",6.91235
"7908591",3.97535
"7908593",2.74999
"7908595",1.77622
"7908597",4.76829
"7908610",2.5733
"7908612",4.45206
"7908614",7.42083
"7908635",6.84783
"7908637",5.30921
"7908639",3.66096
"7908650",3.78039
"7908672",3.90753
"7908692",2.9964
"7908694",5.64744
"7908728",4.27048
"7908730",2.07516
"7908732",6.28287
"7908758",4.59172
"7908766",5.75966
"7908775",2.31098
"7908777",8.17355
"7908779",5.95439
"7908793",3.79497
"7908812",4.57106
"7908816",3.71417
"7908839",2.63597
"7908841",5.9492
"7908861",4.29686
"7908863",3.03098
"7908867",5.63008
"7908879",3.43875
"7908907",4.4476
"7908917",8.58507
"7908924",7.24393
"7908931",3.52197
"7908940",8.02164
"7908966",4.24094
"7908968",3.73706
"7908978",7.2759
"7908988",4.5642
"7908993",4.42007
"7909011",6.04288
"7909027",5.57781
"7909064",3.75042
"7909088",2.97061
"7909102",1.91778
"7909104",4.20566
"7909125",1.67368
"7909127",4.52409
"7909140",2.01389
"7909142",4.31509
"7909144",5.16769
"7909146",4.01499
"7909155",2.76621
"7909164",5.08955
"7909175",5.27164
"7909188",3.95417
"7909214",5.96016
"7909225",5.30794
"7909236",7.65381
"7909250",2.77839
"7909261",2.85343
"7909271",3.6088
"7909283",3.01732
"7909285",4.52339
"7909306",2.79229
"7909318",2.88906
"7909332",7.62233
"7909350",3.6926
"7909371",4.92118
"7909390",2.68044
"7909400",8.06444
"7909418",3.6465
"7909422",4.06035
"7909425",3.32153
"7909441",7.43718
"7909446",4.84633
"7909455",3.84886
"7909478",4.75414
"7909494",2.33856
"7909503",4.63779
"7909510",4.12798
"7909525",1.99505
"7909527",3.08321
"7909529",5.26828
"7909545",5.78936
"7909561",3.39486
"7909568",2.94181
"7909586",6.23136
"7909601",2.8683
"7909603",6.45074
"7909610",6.68218
"7909624",3.30116
"7909626",2.03122
"7909628",4.50399
"7909642",4.68235
"7909661",5.67533
"7909681",4.15227
"7909689",4.60503
"7909708",3.22942
"7909730",3.57525
"7909745",5.98744
"7909768",2.9037
"7909780",2.53696
"7909782",6.134
"7909789",5.90689
"7909801",4.23235
"7909811",3.27115
"7909813",2.72316
"7909815",7.1276
"7909839",4.06523
"7909841",5.27451
"7909862",5.10861
"7909866",5.73515
"7909877",5.97284
"7909888",2.25378
"7909890",4.31806
"7909896",3.73656
"7909898",5.89592
"7909931",6.43462
"7909946",3.1943
"7909954",4.51131
"7909965",4.49424
"7909967",7.69716
"7909990",6.42631
"7909992",6.38013
"7909999",1.68185
"7910001",6.27363
"7910010",2.22616
"7910012",1.97452
"7910014",5.97144
"7910022",3.19077
"7910030",2.66187
"7910047",2.74896
"7910054",2.50165
"7910096",2.11485
"7910099",5.60009
"7910111",5.07637
"7910124",7.89137
"7910134",3.83322
"7910138",2.16403
"7910140",2.89641
"7910142",4.41098
"7910146",4.63453
"7910164",4.99069
"7910184",2.97767
"7910186",2.59462
"7910188",2.45633
"7910190",2.87966
"7910198",4.23328
"7910200",4.84694
"7910211",2.76423
"7910217",3.67609
"7910229",7.11343
"7910241",7.37378
"7910257",5.26073
"7910261",4.23669
"7910265",3.96345
"7910369",3.01732
"7910372",5.88669
"7910377",5.34057
"7910379",2.55647
"7910381",2.03432
"7910383",2.02265
"7910385",7.05031
"7910387",7.14279
"7910396",2.018
"7910398",5.89352
"7910414",3.62537
"7910416",4.74218
"7910427",6.02517
"7910446",4.66721
"7910466",3.34987
"7910490",4.22704
"7910492",3.08416
"7910494",4.57288
"7910503",4.03131
"7910520",6.26654
"7910539",4.85569
"7910550",5.26771
"7910559",3.92312
"7910583",1.50245
"7910585",4.174
"7910587",1.53658
"7910589",4.34481
"7910591",4.84651
"7910600",3.15683
"7910611",4.25218
"7910618",3.65898
"7910630",4.25631
"7910634",1.68591
"7910636",3.06911
"7910638",5.47257
"7910640",4.64124
"7910651",4.18527
"7910672",1.52308
"7910674",1.98517
"7910676",2.88781
"7910680",6.05683
"7910692",1.55057
"7910694",3.37307
"7910706",5.99887
"7910727",4.48734
"7910752",7.0567
"7910790",5.99088
"7910792",5.54114
"7910897",4.71178
"7910899",5.66467
"7910901",6.15809
"7910903",1.59232
"7910905",1.69725
"7910907",1.71912
"7910909",1.64002
"7910911",1.61665
"7910913",3.72384
"7910915",2.54747
"7910923",2.74837
"7910944",4.12722
"7910946",1.42534
"7910948",1.87441
"7910950",3.0126
"7910971",2.49184
"7910997",2.87601
